Folder consists of 28 ODF files from 2024 Bedford Basin Compass Station occupations.

"FILE","START_DATE_TIME"
"D24667001.ODF",2024-01-03 13:01:41
"D24667002.ODF",2024-01-09 13:10:48
"D24667003.ODF",2024-01-17 12:55:39
"D24667004.ODF",2024-01-25 12:54:17
"D24667005.ODF",2024-01-31 13:05:37
"D24667006.ODF",2024-02-07 13:03:50
"D24667007.ODF",2024-02-13 12:56:45
"D24667008.ODF",2024-02-21 12:55:46
"D24667009.ODF",2024-02-27 13:00:21
"D24667010.ODF",2024-03-06 12:57:34
"D24667011.ODF",2024-03-13 11:55:24
"D24667012.ODF",2024-03-20 13:44:58
"D24667013.ODF",2024-03-27 12:04:43
"D24667014.ODF",2024-04-03 11:51:59
"D24667015.ODF",2024-04-10 12:07:22
"D24667016.ODF",2024-04-17 11:56:50
"D24667017.ODF",2024-04-24 11:48:32
"D24667018.ODF",2024-05-01 12:02:58
"D24667019.ODF",2024-05-08 11:54:15
"D24667020.ODF",2024-05-15 11:58:09
"D24667021.ODF",2024-05-22 12:40:03
"D24667022.ODF",2024-05-29 12:00:59
"D24667023.ODF",2024-06-05 11:52:08
"D24667024.ODF",2024-06-12 11:56:47
"D24667025.ODF",2024-06-19 11:57:28
"D24667026.ODF",2024-06-26 12:39:31
"D24667027.ODF",2024-07-03 11:56:44
"D24667028.ODF",2024-07-10 12:55:49
